Final,HƯNG,CHÍ ,TÙNG,title,text
0,1,0,0,Chọn ngành nào trong lĩnh vực công nghệ thông tin?,"Em là nữ, đang là học sinh lớp 12, xác định theo mảng công nghệ. Lý do lựa chọn vậy chỉ vì cơ hội việc làm và mức lương, chứ không phải theo năng khiếu, đam mê. Em giỏi Toán nhưng Tin học chỉ ở mức bình thường. Đôi lúc em cũng sợ không học nổi khối ngành này.Em đã tìm hiểu qua các ngành như Khoa học máy tính, Công nghệ thông tin, Kỹ thuật phần mềm nhưng vẫn còn rất mơ hồ. Em cũng đã xem qua ngành Fintech (Công nghệ tài chính) nhưng còn phân vân vì nghe có vẻ mới.Em rất muốn phát triển sự nghiệp sau này dựa vào ngành học của mình. Vì vậy, em rất mong được anh, chị đi trước tư vấn để em có thể chọn ngành phù hợp.Em xin cảm ơn."
1,1,1,0,Nghệ An đòi giáo viên trả lại hơn 10 tỷ đồng phụ cấp,"Thông tin trên được ông Bùi Đình Long, Phó chủ tịch tỉnh Nghệ An, đưa ra tại cuộc họp báo về tình hình kinh tế - xã hội năm 2023 của tỉnh, chiều 4/1.""Căn cứ theo kết luận của thanh tra, cái gì chi trả không đúng quy định thì phải thu hồi"", ông nói.Theo nhà chức trách, giáo viên được biệt phái về làm việc ở các phòng Giáo dục và Đào tạo là đúng quy định. Tuy nhiên, vì không còn dạy học nên họ không được hưởng các khoản phụ cấp dành cho giáo viên. Trong khi đó, các địa phương ở Nghệ An đã chi khoản này hơn 2 tỷ đồng, trong năm 2021 và 2022 cho 281 người.Buổi họp báo chiều 4/1 của UBND tỉnh Nghệ An. Ảnh:"
1,1,1,0,Hiệu trưởng từ chức sau vụ học sinh ăn cơm chan mì tôm,"Chính quyền huyện Bắc Hà ngày 22/12 gửi báo cáo Tỉnh ủy, UBND tỉnh Lào Cai về thông tin phản ánh bữa ăn bán trú tại trường Hoàng Thu Phố 1 có dấu hiệu bị cắt xén, khiến 11 học sinh phải ăn cơm trắng chan với hai gói mì tôm.Báo cáo nêu các thông tin phản ánh trên là chính xác. Trường có nhiều sai phạm như không có danh sách chi trả tiền ăn thừa cho học sinh, hiệu trưởng chưa ký nhận nhiều hồ sơ nhập, xuất thực phẩm. Ngoài ra, phiếu chi tiền mặt không có́ số, không có chữ ký của hiệu trưởng, người nhận tiền. Bảng nhập mua thực phẩm hàng ngày không khớp với bảng thực phẩm của tháng.Hàng ngày, thực phẩm được đưa từ cơ sở cung cấp về nhập kho nhưng người nhận không kiểm tra khối lượng và chất lượng hàng hóa, không ký bất kỳ sổ sách nào. Số lượng thực phẩm và số tiền thanh toán thực tế có chênh lệch.Thông tin người dân không được nhận tiền ăn bán trú còn thừa hay 150.000 tiền hỗ trợ mua sách vở, đồ dùng học tập theo quy định của chính phủ là có cơ sở."
1,1,1,0,"Phụ huynh túm tóc, đánh giáo viên giữa sân trường","Tối 22/12, thầy Nguyễn Trọng Ngữ, Hiệu trưởng trường THCS Mỹ An, huyện Tháp Mười, cho biết sự việc xảy ra sáng 20/12. Nguồn cơn do hôm trước nữ giáo viên môn Khoa học tự nhiên tát một nữ sinh lớp 6 vì không thuộc bài, không chú ý nghe giảng.""Biết tin, tôi mời phụ huynh đến trường để xin lỗi, thăm hỏi sức khỏe học sinh. Cô giáo cũng gọi cho mẹ của học sinh nhận lỗi, nhưng phụ huynh không chấp nhận"", thầy Ngữ cho biết.Hôm sau, bà nội và bố của em này gặp cô giáo ở sân trường, lớn tiếng, chửi mắng bằng từ ngữ thô tục. Bà nội túm tóc, nắm áo, liên tiếp đánh vào mặt giáo viên. Các giáo viên đến can ngăn đều không được.Sự việc gây náo loạn ở sân trường, chỉ dừng lại khi công an xã đến, mời các bên về trụ sở làm việc."
1,1,1,0,Cô giáo bị nhốt: Đây không phải lần đầu học sinh 'chống đối',"Trả lời tại nhà riêng, 8 ngày sau khi bị học sinh nhốt trong lớp, chửi bậy và ném đồ vào người, cô Hằng, 38 tuổi, cho biết ""không có khúc mắc gì với học sinh"". Theo cô Hằng, trong tiết học Âm nhạc hôm 29/11, học sinh không thực hiện đúng nội quy và nhiệm vụ của mình. Đã vào giờ học nhưng các em tự do đi lại, mở nhạc rồi nhảy trên bục giảng. Cô Hằng nhắc nhở không được nên đã rút nguồn điện của TV. Một học sinh sau đó lại lên cắm vào, mở nhạc, hò reo.""Tóm lại là học sinh không học, nổi loạn"", cô Hằng nói, cho biết sau đó bị dồn vào góc tường như đoạn video dài gần hai phút ghi lại.""Các em còn quây tôi vào bàn giáo viên, cầm mũ và áo rét, phe phẩy trước mặt, muốn trùm lên đầu tôi. Có bạn còn cầm thước kẻ, chống xuống đất và dọa nạt"", cô Hằng kể."
1,1,1,0,Trường từng đề nghị điều chuyển cô giáo bị nhốt,"Trong công văn gửi Văn phòng Chính phủ, Bộ Giáo dục và Đào tạo ngày 7/12, UBND tỉnh Tuyên Quang cho biết đã nhận được báo cáo nhanh của trường THCS Văn Phú, các ngành chức năng và UBND huyện Sơn Dương về vụ học sinh lớp 7C của trường nhốt, ném đồ vào cô giáo.Theo đó, báo cáo của trường nêu thời gian gần đây, cô Hằng, 38 tuổi, có nhiều hành vi, phát ngôn không đúng chuẩn mực, xúc phạm danh dự, nhân phẩm, uy tín của người khác, gây bức xúc trong học sinh và phụ huynh.""Trường THCS Văn Phú từng đề nghị luân chuyển cô giáo này đến cơ sở khác, do cô không được học sinh, nhân dân tin tưởng, không quản lý được học sinh"", báo cáo trích ý kiến của trường.Ngày 21/11, cô bị trường kỷ luật vì ""có những vi phạm về đạo đức nhà giáo, xúc phạm danh dự, nhân phẩm học sinh, hành vi, ngôn ngữ ứng xử của giáo viên chưa đảm bảo tính sư phạm, đúng mực""."
1,1,1,0,Nam sinh chấn thương vai sau khi bị thầy giáo đánh,"Chiều 9/12, thầy Trần Văn Luyện, Hiệu trưởng trường THCS Hồng Bàng, quận 5, xác nhận sự việc diễn ra vào chiều 8/12, trong giờ học STEM. Thầy giáo môn Công nghệ đã dùng cây ăng ten đánh vào bả vai học sinh.hi về nhà, học sinh đau nên kể với bố mẹ. Gia đình đưa em đi kiểm tra ở bệnh viện, kết quả chụp X-quang cho thấy em bị gãy xương bả vai.Sáng nay, trường làm việc với các cá nhân và bộ phận liên quan, quyết định cho thầy giáo này tạm dừng giảng dạy ở lớp đó. Ông Luyện cho hay giáo viên đã viết tường trình, nhận lỗi và hối hận về hành động của mình, nhưng ông từ chối chia sẻ nguyên nhân, diễn biến vụ việc.Tối cùng ngày, hiệu trưởng thông tin thêm sau khi xác minh với bệnh viện, kết quả chụp X-quang cho thấy nam sinh bị chấn thương phần mềm ở bả vai, không phải gãy xương bả vai như gia đình báo ban đầu."
1,1,1,0,Hơn 100 học sinh nguy cơ không có điểm tổng kết,"Thầy Nguyễn Thế Tài, Hiệu trưởng trường Tiểu học và THCS Cao Sơn, cho biết lý do là thầy giáo cũ đường đột xin nghỉ việc, chuyển đến công tác sang địa phương khác. Trường đã kiến nghị Phòng Giáo dục và Đào tạo huyện Bá Thước bố trí giáo viên mới, nhưng đến nay vẫn chưa tuyển được người thay thế.Trong chương trình giáo dục phổ thông mới, từ lớp 3, tiếng Anh là môn bắt buộc. Tuy nhiên, toàn bộ 7 khối lớp (từ khối 3 đến khối 9) với 107 học sinh ở trường Tiểu học và THCS Cao Sơn buộc phải ngừng học môn này.Theo quy định của Bộ Giáo dục và Đào tạo, học sinh được kiểm tra, đánh giá ở tất cả môn học trong chương trình. Nếu đạt, các em mới được xét lên lớp. ""Không có điểm môn Ngoại ngữ đồng nghĩa với việc không thể tổng kết học kỳ 1"", thầy Tài nói, thêm rằng điều này ảnh hưởng trực tiếp tới quyền lợi của học trò, đặc biệt là với 16 học sinh khối 9 sẽ thi tuyển vào lớp 10 năm tới."
1,1,1,0,7 nữ sinh đánh nhau bị phạt đọc sách 2 tuần,"Sáng 11/11, ông Trịnh Vĩnh Thanh, Trưởng phòng Giáo dục và Đào tạo quận Gò Vấp, cho biết đọc sách dưới sự giám sát của thầy cô là một hình thức giáo dục, uốn nắn với 7 nữ sinh tham gia vụ đánh nhau, quay video ở trường THCS Nguyễn Văn Trỗi hôm 23/9.Trong hai tuần tới, vào giờ ra chơi buổi sáng và chiều, những em này phải đến thư viện trường đọc sách, nhất là các đầu sách về đạo đức, dưới sự giám sát của thầy cô. Đọc xong, các em ghi lại cảm nhận rồi từng em được đứng trước trường chia sẻ về bài học rút ra.Ngoài ra, bốn nữ sinh đánh bạn và quay, chia sẻ video bị xếp hạnh kiểm yếu trong học kỳ I. Trong số này, có một học sinh sắp chuyển trường, hồ sơ kỷ luật sẽ chuyển sang trường mới. Nữ sinh bị đánh và hai em đứng canh cửa, quay video bị xếp loại chưa đạt rèn luyện trong học kỳ I""Em bị đánh là nạn nhân nhưng năm học trước và gần đây đã đánh bạn khác nên cũng bị kỷ luật"", ông Thanh lý giải."
1,1,1,0,"Xét đình chỉ học, hạ hạnh kiểm hai nam sinh đánh nhau","Theo ông Lâm Huy Hoàng, Hiệu trưởng trường THCS Đống Đa, hai học sinh lớp 9A5 đánh nhau vào trưa 25/10. Mâu thuẫn bắt nguồn từ việc một nam sinh đánh rơi 500.000 đồng, bạn nhặt được nhưng lại đưa cho người khác. Nam sinh đánh rơi tiền hỏi nhiều lần nhưng bạn không trả lời nên đã lao vào đè cổ, đánh tới tấp.Lúc này, một học sinh đứng quay video và nhiều em khác vây xem. Vì là lúc chuẩn bị nghỉ trưa nên giáo viên, giám thị không phát hiện kịp thời.Ông Hoàng cho hay ngày 29/10, gia đình học sinh đánh bạn đã xin lỗi và hứa sẽ bồi thường thuốc men cho nam sinh bị đánh.""Em đánh bạn đã hối hận với hành vi của mình. Gia đình nam sinh bị đánh cũng mong cả hai được học tập bình thường"", ông Hoàng nói."
